Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
13,Alex Fudge,20,2TM,SF,6,0,40,9.8,0.472,0.333,0.133,11.3,2.7,6.9,0,3.6,0,11.2,19.2,0,0,0,-0.007,-3.7,-1.5,-5.2,0,
14,Leonard Miller,20,MIN,SF,17,0,52,27,0.694,0.25,0.1,11.5,31.3,21.8,25.5,1.9,1.7,4.6,18.6,0.2,0.1,0.3,0.323,5.9,3.7,9.6,0.2,
15,Kendall Brown,20,IND,SG,15,0,63,7.6,0.567,0.133,0.533,5.4,3.6,4.5,9.3,0,0,9.7,13.7,0.1,0,0.1,0.045,-4.2,-2.6,-6.8,-0.1,
16,Jett Howard,20,ORL,SF,18,0,67,8.6,0.457,0.833,0.133,1.7,10.6,6.1,13,1.5,2.8,8.6,22.7,-0.1,0.1,0,0.005,-1.4,-0.3,-1.8,0,
17,Chris Livingston,20,MIL,SF,21,0,90,6.9,0.547,0.227,0.182,3.7,21.5,12.8,7.2,1.1,0,17.4,13.8,0,0.1,0.1,0.027,-7,-1,-8,-0.1,
18,Jalen Hood-Schifino,20,LAL,SG,21,0,109,-1.5,0.316,0.333,0.444,2.1,10.7,6.6,9.1,1.3,1.6,14.3,24.9,-0.6,0.1,-0.5,-0.222,-12.4,-3.7,-16.1,-0.4,
19,Emoni Bates,20,CLE,SF,15,0,133,2.6,0.404,0.673,0.082,0.9,10.9,5.9,10,0.4,1.4,13.6,19.5,-0.4,0.1,-0.3,-0.092,-6.2,-3,-9.2,-0.2,
20,Tristan Vukcevic,20,WAS,C,10,4,153,13.9,0.554,0.537,0.328,4.1,21.5,12.6,12.1,1.5,3.7,11.5,23.9,0,0.1,0.1,0.045,-3.5,-0.1,-3.6,-0.1,
21,AJ Griffin,20,ATL,SF,20,0,171,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0,-0.4,-0.12,-6,-3.5,-9.6,-0.3,
22,Kobe Bufkin,20,ATL,SG,17,0,196,9.1,0.424,0.435,0.087,3.2,15.6,9.2,19.3,1.7,2.3,9.5,22.4,-0.3,0.1,-0.1,-0.031,-4.3,-0.2,-4.5,-0.1,
23,Julian Phillips,20,CHI,SF,40,0,323,7,0.521,0.494,0.247,4.1,8.5,6.2,5.3,1.1,2.2,10.5,13,0,0.2,0.2,0.031,-4.7,-0.6,-5.3,-0.3,
24,Jarace Walker,20,IND,PF,33,0,340,11.8,0.527,0.5,0.082,4,17,10.5,13.9,2.1,2.6,13,16.1,0.1,0.3,0.4,0.058,-0.5,0.7,0.2,0.2,
